"Neighborhood","Neighborhood"
"Complement","Complement"
"Free Shipping","Free Shipping"
"Details of your order","Details of your order"
"Success Page for Order #%1","Success Page for Order #%1"
"Identify","Identify"
"Not yet calculated","Not yet calculated"
"Associate orders placed as a guest with the existing customer account?","Associate orders placed as a guest with the existing customer account?"
"Continue as guest","Continue as guest"
